District
""
No of complaints
""
Ampara 201
Anuradapura 487
Badulla 224
Baticoloa 166
Colombo 1167
Galle 537
Gampaha 888
Hambanthota 335
Jaffna 175
Kaluthara 478
Kandy 390
Kegelle 288
Kilinochchi a1
Kurunegala 726
Mannar 80
""
Matale 140
Matara 301
Monaragala 221
Mulathivu 122
Nuwara Eliya 177
Polonnaruwa 229
Puttlum 375
Rathnapura 47a
Trincomali 133
Vavuniya 106
""
Total
""
8558
""
""
