Year,Month,Type of abuse,No of complaints
2023,Total,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,9.0
2023,Total,310 - Cause Hurt,166.0
2023,Total,351 - Kidnapping from Sri Lanka,4.0
2023,Total,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,11.0
2023,Total,"71 - CYPO: Neglect of Children, Cruelty",383.0
2023,Total,CYPO 20 - Prohibition of Publication of Certain Matters,1.0
2023,Total,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,9.0
2023,Total,76 - CYPO: Sale of Tobacco to Person Under 16 Years,4.0
2023,Total,CYPO 77 - Preventing Children from Receiving Education,8.0
2023,Total,286A - Obscene Publications,6.0
2023,Total,"358A - Serfdom, Slavery, Child Soldiers",4.0
2023,Total,365A - Gross Indecency,1.0
2023,Total,286C - Duty to Inform of Use of Premises for Child Abuse,1.0
2023,Total,360E - Soliciting a Child,1.0
2023,Total,365C - Publication of Sexual Abuse,4.0
2023,Total,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,1.0
2023,Total,,9673.0
