Year,Month,District,No of complaints
2023,April,Monaragala,20
2023,April,Mulathivu,3
2023,April,NuwaraEliya,10
2023,April,Polonnaruwa,26
2023,April,Puttalama,30
2023,April,Rathnapura,50
2023,April,Trncomali,13
2023,April,Vavuniya,6
2023,April,Unknown,25
2023,April,,594
2023,May,Ampara,21
2023,May,Anuradapura,50
2023,May,Badulla,23
2023,May,Baticoloa,14
2023,May,Colombo,111
2023,May,Galle,50
2023,May,Gampaha,96
2023,May,Hambanthota,36
2023,May,Jaffna,18
2023,May,Kaluthara,51
2023,May,Kandy,37
2023,May,Kagalle,24
2023,May,Kilinochchi,4
2023,May,Kurunagala,74
2023,May,Mannar,4
2023,May,Matale,16
2023,May,Matara,28
2023,May,Monaragala,24
2023,May,Mulathivu,7
2023,May,NuwaraEliya,15
2023,May,Polonnaruwa,33
2023,May,Puttalama,43
2023,May,Rathnapura,51
2023,May,Trncomali,11
2023,May,Vavuniya,12
2023,May,Unknown,45
2023,May,,898
2023,June,Ampara,22
2023,June,Anuradapura,53
2023,June,Badulla,18
2023,June,Baticoloa,24
2023,June,Colombo,112
2023,June,Galle,38
2023,June,Gampaha,90
2023,June,Hambanthota,34
2023,June,Jaffna,14
2023,June,Kaluthara,51
2023,June,Kandy,38
2023,June,Kagalle,13
2023,June,Kilinochchi,8
2023,June,Kurunagala,76
2023,June,Mannar,2
2023,June,Matale,16
2023,June,Matara,28
2023,June,Monaragala,18
2023,June,Mulathivu,9
2023,June,NuwaraEliya,24
2023,June,Polonnaruwa,28
2023,June,Puttalama,28
2023,June,Rathnapura,57
2023,June,Trncomali,8
2023,June,Vavuniya,3
2023,June,Unknown,48
2023,June,,860
2023,July,Ampara,16
2023,July,Anuradapura,44
2023,July,Badulla,22
2023,July,Baticoloa,12
2023,July,Colombo,97
2023,July,Galle,62
2023,July,Gampaha,79
2023,July,Hambanthota,43
2023,July,Jaffna,13
2023,July,Kaluthara,36
2023,July,Kandy,36
2023,July,Kagalle,25
2023,July,Kilinochchi,4
2023,July,Kurunagala,69
2023,July,Mannar,4
2023,July,Matale,16
2023,July,Matara,34
2023,July,Monaragala,33
2023,July,Mulathivu,6
2023,July,NuwaraEliya,20
2023,July,Polonnaruwa,25
2023,July,Puttalama,48
2023,July,Rathnapura,50
2023,July,Trncomali,15
2023,July,Vavuniya,3
2023,July,Unknown,26
2023,July,,838
2023,August,Ampara,13
2023,August,Anuradapura,46
2023,August,Badulla,18
2023,August,Baticoloa,12
2023,August,Colombo,78
2023,August,Galle,42
2023,August,Gampaha,68
2023,August,Hambanthota,31
2023,August,Jaffna,5
2023,August,Kaluthara,54
2023,August,Kandy,28
2023,August,Kagalle,17
2023,August,Kilinochchi,3
2023,August,Kurunagala,52
2023,August,Mannar,6
2023,August,Matale,16
2023,August,Matara,23
2023,August,Monaragala,33
2023,August,Mulathivu,7
2023,August,NuwaraEliya,16
2023,August,Polonnaruwa,22
2023,August,Puttalama,30
2023,August,Rathnapura,53
2023,August,Trncomali,7
2023,August,Vavuniya,2
2023,August,Unknown,28
2023,August,,710
2023,September,Ampara,18
2023,September,Anuradapura,31
2023,September,Badulla,24
2023,September,Baticoloa,9
2023,September,Colombo,86
2023,September,Galle,32
2023,September,Gampaha,61
2023,September,Hambanthota,32
2023,September,Jaffna,10
2023,September,Kaluthara,39
2023,September,Kandy,30
2023,September,Kagalle,25
2023,September,Kilinochchi,3
2023,September,Kurunagala,78
2023,September,Mannar,2
2023,September,Matale,15
2023,September,Matara,27
2023,September,Monaragala,28
2023,September,Mulathivu,8
2023,September,NuwaraEliya,14
2023,September,Polonnaruwa,29
2023,September,Puttalama,32
2023,September,Rathnapura,37
2023,September,Trncomali,10
2023,September,Vavuniya,3
2023,September,Unknown,20
2023,September,,703
2023,October,Ampara,29
2023,October,Anuradapura,46
2023,October,Badulla,19
2023,October,Baticoloa,21
2023,October,Colombo,98
2023,October,Galle,52
2023,October,Gampaha,74
2023,October,Hambanthota,30
2023,October,Jaffna,14
2023,October,Kaluthara,48
2023,October,Kandy,28
2023,October,Kagalle,27
2023,October,Kilinochchi,7
2023,October,Kurunagala,52
2023,October,Mannar,6
2023,October,Matale,17
2023,October,Matara,24
2023,October,Monaragala,29
2023,October,Mulathivu,8
2023,October,NuwaraEliya,10
2023,October,Polonnaruwa,12
2023,October,Puttalama,34
2023,October,Rathnapura,48
2023,October,Trncomali,4
2023,October,Vavuniya,4
2023,October,Unknown,26
2023,October,,767
2023,November,Ampara,23
2023,November,Anuradapura,39
2023,November,Badulla,23
2023,November,Baticoloa,15
2023,November,Colombo,87
2023,November,Galle,55
2023,November,Gampaha,76
2023,November,Hambanthota,40
2023,November,Jaffna,18
2023,November,Kaluthara,56
