Type of abuse,No of complaints
286A. Obscene publication,10.0
288. Procuring to beg,240.0
360B Sexual Exploitation of children,8.0
288B. Trafficking Restricted Articles,44.0
308A. Cruelty to Children,2741.0
345. Sexual Harassment,947.0
,
352. Kidnapping from lawful guardianship,99.0
,
353. Abduction,354.0
,
360C. Trafficking,124.0
,
363. Rape,123.0
,
364A. Incest,8.0
,
365B. Grave sexual abuse,246.0
,
71. CYPO -  Neglect of Children,1535.0
,
Child Labour,375.0
,
Compulsory Education,541.0
,
Domestic Violence,97.0
,
Juvenile Delinquency,263.0
,
,
MISC.,3432.0
Total,11187.0
