Unnamed: 0,District,No of complaints
Ampara,,229
Anuradapura,,434
Badulla,,237
Baticoloa,,189
Colombo,,1330
Galle,,617
Gampaha,,1066
Hambanthota,,361
Jaffna,,207
Kaluthara,,540
Kandy,,420
Kegalle,,349
Kilinochchi,,104
Kurunegala,,823
Mannar,,69
Matale,,210
Matara,,346
Monaragala,,224
Mulathivu,,98
Nuwara Eliya,,168
Polonnaruwa,,246
Puttlum,,440
Rathnapura,,537
Trincomali,,137
Vavuniya,,131
,Total,9512
