District,Month,No of complaints
Rathnapura,December,45
Trncomali,December,17
Vavuniya,December,7
Unknown,December,59
,December,766
Ampara,Total,237
Anuradapura,Total,521
Badulla,Total,246
Baticoloa,Total,178
Colombo,Total,1174
Galle,Total,541
Gampaha,Total,907
Hambanthota,Total,18
Jaffna,Total,138
Kaluthara,Total,548
Kandy,Total,424
Kagalle,Total,293
Kilinochchi,Total,52
Kurunagala,Total,760
Mannar,Total,50
Matale,Total,193
Matara,Total,315
Monaragala,Total,291
Mulathivu,Total,82
NuwaraEliya,Total,184
Polonnaruwa,Total,283
Puttalama,Total,396
Rathnapura,Total,598
Trncomali,Total,133
Vavuniya,Total,65
Unknown,Total,434
,Total,9436
