,Year,Month,District,No of complaints
219,2023,March,Jaffna,6
220,2023,March,Kalutara,70
221,2023,March,Kandy,53
222,2023,March,Kegalle,29
223,2023,March,Kilinochchi,6
224,2023,March,Kurunegala,96
225,2023,March,Mannar,8
226,2023,March,Matale,25
227,2023,March,Matara,25
228,2023,March,Monaragala,37
229,2023,March,Mullaitivu,8
230,2023,March,Nuwara Eliya,23
231,2023,March,Polonnaruwa,28
232,2023,March,Puttalam,34
233,2023,March,Ratnapura,67
234,2023,March,Trincomalee,6
235,2023,March,Vavuniya,6
236,2023,March,Unknown,46
237,2023,March,,1026
238,2023,April,Ampara,11
239,2023,April,Anuradhapura,32
240,2023,April,Badulla,16
241,2023,April,Batticaloa,12
242,2023,April,Colombo,75
243,2023,April,Galle,30
244,2023,April,Gampaha,54
245,2023,April,Hambanthota,16
246,2023,April,Jaffna,7
247,2023,April,Kalutara,28
248,2023,April,Kandy,33
249,2023,April,Kegalle,15
250,2023,April,Kilinochchi,4
251,2023,April,Kurunegala,47
252,2023,April,Mannar,4
253,2023,April,Matale,10
254,2023,April,Matara,17
255,2023,April,Monaragala,20
256,2023,April,Mullaitivu,3
257,2023,April,Nuwara Eliya,10
258,2023,April,Polonnaruwa,26
259,2023,April,Puttalam,30
260,2023,April,Ratnapura,50
261,2023,April,Trincomalee,13
262,2023,April,Vavuniya,6
263,2023,April,Unknown,25
264,2023,April,,594
265,2023,May,Ampara,21
266,2023,May,Anuradhapura,50
267,2023,May,Badulla,23
268,2023,May,Batticaloa,14
269,2023,May,Colombo,111
270,2023,May,Galle,50
271,2023,May,Gampaha,96
272,2023,May,Hambanthota,36
273,2023,May,Jaffna,18
274,2023,May,Kalutara,51
275,2023,May,Kandy,37
276,2023,May,Kegalle,24
277,2023,May,Kilinochchi,4
278,2023,May,Kurunegala,74
279,2023,May,Mannar,4
280,2023,May,Matale,16
281,2023,May,Matara,28
282,2023,May,Monaragala,24
283,2023,May,Mullaitivu,7
284,2023,May,Nuwara Eliya,15
285,2023,May,Polonnaruwa,33
286,2023,May,Puttalam,43
287,2023,May,Ratnapura,51
288,2023,May,Trincomalee,11
289,2023,May,Vavuniya,12
290,2023,May,Unknown,45
291,2023,May,,898
292,2023,June,Ampara,22
293,2023,June,Anuradhapura,53
294,2023,June,Badulla,18
295,2023,June,Batticaloa,24
296,2023,June,Colombo,112
297,2023,June,Galle,38
298,2023,June,Gampaha,90
299,2023,June,Hambanthota,34
300,2023,June,Jaffna,14
301,2023,June,Kalutara,51
302,2023,June,Kandy,38
303,2023,June,Kegalle,13
304,2023,June,Kilinochchi,8
305,2023,June,Kurunegala,76
306,2023,June,Mannar,2
307,2023,June,Matale,16
308,2023,June,Matara,28
309,2023,June,Monaragala,18
310,2023,June,Mullaitivu,9
311,2023,June,Nuwara Eliya,24
312,2023,June,Polonnaruwa,28
313,2023,June,Puttalam,28
314,2023,June,Ratnapura,57
315,2023,June,Trincomalee,8
316,2023,June,Vavuniya,3
317,2023,June,Unknown,48
318,2023,June,,860
319,2023,July,Ampara,16
320,2023,July,Anuradhapura,44
321,2023,July,Badulla,22
322,2023,July,Batticaloa,12
323,2023,July,Colombo,97
324,2023,July,Galle,62
325,2023,July,Gampaha,79
326,2023,July,Hambanthota,43
327,2023,July,Jaffna,13
328,2023,July,Kalutara,36
329,2023,July,Kandy,36
330,2023,July,Kegalle,25
331,2023,July,Kilinochchi,4
332,2023,July,Kurunegala,69
333,2023,July,Mannar,4
334,2023,July,Matale,16
335,2023,July,Matara,34
336,2023,July,Monaragala,33
337,2023,July,Mullaitivu,6
