,Type of abuse,Month,No of complaints
153,352 - Kidnapping from lawful guardianship,May,7
154,360C - Trafficking,May,2
155,360A - Procreation,May,2
156,288B - Restricted Articles/Drugs,May,0
157,345 - Sexual Harassment,May,52
158,"288A - Hiring or employing children to act as procures
for sexual intercourse.",May,2
159,310 - Cause hurt,May,16
160,351 - Kidnapping from Sri Lanka,May,1
161,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",May,1
162,"CYPO 71 – Neglect of children,Crualty",May,23
163,"CYPO 20 – Prohibition of publication of certain
matters",May,0
164,CYPO 72- seduction or prostitution of girl under 16y,May,0
165,CYPO 76 - sale of tobacco to person under 16 years,May,0
166,"CYPO 77 - preventing children from receiving
education",May,1
167,286 - A- Obscene Publications,May,0
168,"358A – Serfdom, Slavery, Child Soldiers",May,0
169,365 A - Gross Indecency,May,0
170,"286 - C- Duty to inform of use of premises for
child abuse",May,0
171,360E – Soliciting a Child,May,0
172,365 C - Publication of Sexuel Abuse,May,4
173,"CYPO 11 - Restrictions on reports of proseedings in
juvenile courts",May,0
174,,May,914
175,353 - Abduction,June,21
176,288 - Begging,June,38
177,CYPO 35 - in need of Care & Protection,June,213
178,Child Labor,June,17
179,Compulsory Education,June,196
180,308A - Cruelty,June,197
181,365B - Grave Sexual Abuse,June,40
182,311 - Grievous Hurt,June,22
183,360 B - Sexual Exploitation,June,1
184,360D - Offences related to Adoption,June,0
185,364A - Incest,June,0
186,363 - Rape,June,4
187,Juvenile Delinqency,June,34
188,352 - Kidnapping from lawful guardianship,June,4
189,360C - Trafficking,June,4
190,360A - Procreation,June,1
191,288B - Restricted Articles/Drugs,June,3
192,345 - Sexual Harassment,June,42
193,"288A - Hiring or employing children to act as procures
for sexual intercourse.",June,0
194,310 - Cause hurt,June,23
195,351 - Kidnapping from Sri Lanka,June,0
196,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",June,5
197,"CYPO 71 – Neglect of children,Crualty",June,19
198,"CYPO 20 – Prohibition of publication of certain
matters",June,0
199,CYPO 72- seduction or prostitution of girl under 16y,June,2
200,CYPO 76 - sale of tobacco to person under 16 years,June,0
201,"CYPO 77 - preventing children from receiving
education",June,2
202,286 - A- Obscene Publications,June,0
203,"358A – Serfdom, Slavery, Child Soldiers",June,0
204,365 A - Gross Indecency,June,0
205,"286 - C- Duty to inform of use of premises for
child abuse",June,0
206,360E – Soliciting a Child,June,0
207,365 C - Publication of Sexuel Abuse,June,0
208,"CYPO 11 - Restrictions on reports of proseedings in
juvenile courts",June,0
209,,June,888
210,353 - Abduction,July,16
211,288 - Begging,July,28
