Type of abuse
Sexual Harassment
Miscellaneous
Juvenile Delinquency
Domestic Violence
CYPO 77 - Preventing Children from Receiving Education
CYPO 72 - Seduction or Prostitution of Girl Under 16 Years
CYPO 20 - Prohibition of Publication of Certain Matters
CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts
Cruelty to Children
Compulsory Education
Children and Young Person Ordinance-Neglect of Children
Child Labor
365C - Publication of Sexual Abuse
365B - Grave Sexual Abuse
365A - Gross Indecency
365 - Unnatural Offence
364A - Incest
363 - Rape
360E - Soliciting a Child
360D - Offences Related to Adoption
360C - Trafficking
360B - Sexual Exploitation of Children
360A - Procreation
"358A - Serfdom, Slavery, Child Soldiers"
356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person
353 - Abduction
352 - Kidnapping from Lawful Guardianship
351 - Kidnapping from Sri Lanka
345 - Sexual Harassment
311 - Grievous Hurt
310 - Cause Hurt
308A - Cruelty to Children
308 - Exposure and Abandonment
288B - Trafficking Restricted Articles/Drugs
288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse
288 - Procuring to Beg
286C - Duty to Inform of Use of Premises for Child Abuse
286A - Obscene Publications
76 - CYPO: Sale of Tobacco to Person Under 16 Years
"71 - CYPO: Neglect of Children, Cruelty"
35 - CYPO: Child or Young Person in Need of Care & Protection
27A - ACO: Unlawful Custody
14 - ACO: Restriction on Payment
