District,District (sri lankan districts provinces lat long population.csv),District.,Month,Province (sri lankan districts provinces lat long population.csv),Year,F1,Latitude (sri lankan districts provinces lat long population.csv),Longitude (sri lankan districts provinces lat long population.csv),No of complaints,Population
Monaragala,Monaragala,Monaragala,May,Uva,2023-01-01,282,6.8906,81.2152,24,451058
Mullaitivu,Mullaitivu,Mullaitivu,May,Northern,2023-01-01,283,9.2671,80.8061,7,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,May,Central,2023-01-01,284,6.9708,80.7671,15,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,May,North Central,2023-01-01,285,7.9403,81.0002,33,403068
Puttalam,Puttalam,Puttalam,May,North Western,2023-01-01,286,8.0983,79.8283,43,762396
Ratnapura,Ratnapura,Ratnapura,May,Sabaragamuwa,2023-01-01,287,6.6828,80.4,51,1096957
Trincomalee,Trincomalee,Trincomalee,May,Eastern,2023-01-01,288,8.5874,81.2335,11,379541
Vavuniya,Vavuniya,Vavuniya,May,Northern,2023-01-01,289,8.7519,80.5007,12,167591
Unknown,,Unknown,May,,2023-01-01,290,,,45,
,,,May,,2023-01-01,291,,,898,
Ampara,Ampara,Ampara,June,Eastern,2023-01-01,292,7.2914,81.6728,22,649402
Anuradhapura,Anuradhapura,Anuradhapura,June,North Central,2023-01-01,293,8.335,80.4037,53,860575
Badulla,Badulla,Badulla,June,Uva,2023-01-01,294,6.9934,81.055,18,815405
Batticaloa,Batticaloa,Batticaloa,June,Eastern,2023-01-01,295,7.717,81.7056,24,526567
Colombo,Colombo,Colombo,June,Western,2023-01-01,296,6.9271,79.8612,112,2324344
Galle,Galle,Galle,June,Southern,2023-01-01,297,6.0535,80.217,38,1024889
Gampaha,Gampaha,Gampaha,June,Western,2023-01-01,298,7.084,79.8931,90,2290058
Hambanthota,Hambanthota,Hambanthota,June,Southern,2023-01-01,299,6.1241,81.1185,34,594335
Jaffna,Jaffna,Jaffna,June,Northern,2023-01-01,300,9.6615,80.0074,14,583378
Kalutara,Kalutara,Kalutara,June,Western,2023-01-01,301,6.5854,79.9166,51,1221759
Kandy,Kandy,Kandy,June,Central,2023-01-01,302,7.2906,80.6337,38,1374775
Kegalle,Kegalle,Kegalle,June,Sabaragamuwa,2023-01-01,303,7.2513,80.3464,13,840648
Kilinochchi,Kilinochchi,Kilinochchi,June,Northern,2023-01-01,304,9.3842,80.402,8,113510
Kurunegala,Kurunegala,Kurunegala,June,North Western,2023-01-01,305,7.4863,80.0148,76,1618463
Mannar,Mannar,Mannar,June,Northern,2023-01-01,306,8.981,79.9133,2,99548
Matale,Matale,Matale,June,Central,2023-01-01,307,7.4675,80.6234,16,484531
Matara,Matara,Matara,June,Southern,2023-01-01,308,5.9549,80.5353,28,809959
Monaragala,Monaragala,Monaragala,June,Uva,2023-01-01,309,6.8906,81.2152,18,451058
Mullaitivu,Mullaitivu,Mullaitivu,June,Northern,2023-01-01,310,9.2671,80.8061,9,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,June,Central,2023-01-01,311,6.9708,80.7671,24,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,June,North Central,2023-01-01,312,7.9403,81.0002,28,403068
Puttalam,Puttalam,Puttalam,June,North Western,2023-01-01,313,8.0983,79.8283,28,762396
Ratnapura,Ratnapura,Ratnapura,June,Sabaragamuwa,2023-01-01,314,6.6828,80.4,57,1096957
Trincomalee,Trincomalee,Trincomalee,June,Eastern,2023-01-01,315,8.5874,81.2335,8,379541
Vavuniya,Vavuniya,Vavuniya,June,Northern,2023-01-01,316,8.7519,80.5007,3,167591
Unknown,,Unknown,June,,2023-01-01,317,,,48,
,,,June,,2023-01-01,318,,,860,
Ampara,Ampara,Ampara,July,Eastern,2023-01-01,319,7.2914,81.6728,16,649402
Anuradhapura,Anuradhapura,Anuradhapura,July,North Central,2023-01-01,320,8.335,80.4037,44,860575
Badulla,Badulla,Badulla,July,Uva,2023-01-01,321,6.9934,81.055,22,815405
Batticaloa,Batticaloa,Batticaloa,July,Eastern,2023-01-01,322,7.717,81.7056,12,526567
Colombo,Colombo,Colombo,July,Western,2023-01-01,323,6.9271,79.8612,97,2324344
Galle,Galle,Galle,July,Southern,2023-01-01,324,6.0535,80.217,62,1024889
Gampaha,Gampaha,Gampaha,July,Western,2023-01-01,325,7.084,79.8931,79,2290058
Hambanthota,Hambanthota,Hambanthota,July,Southern,2023-01-01,326,6.1241,81.1185,43,594335
Jaffna,Jaffna,Jaffna,July,Northern,2023-01-01,327,9.6615,80.0074,13,583378
Kalutara,Kalutara,Kalutara,July,Western,2023-01-01,328,6.5854,79.9166,36,1221759
Kandy,Kandy,Kandy,July,Central,2023-01-01,329,7.2906,80.6337,36,1374775
Kegalle,Kegalle,Kegalle,July,Sabaragamuwa,2023-01-01,330,7.2513,80.3464,25,840648
Kilinochchi,Kilinochchi,Kilinochchi,July,Northern,2023-01-01,331,9.3842,80.402,4,113510
Kurunegala,Kurunegala,Kurunegala,July,North Western,2023-01-01,332,7.4863,80.0148,69,1618463
Mannar,Mannar,Mannar,July,Northern,2023-01-01,333,8.981,79.9133,4,99548
Matale,Matale,Matale,July,Central,2023-01-01,334,7.4675,80.6234,16,484531
Matara,Matara,Matara,July,Southern,2023-01-01,335,5.9549,80.5353,34,809959
Monaragala,Monaragala,Monaragala,July,Uva,2023-01-01,336,6.8906,81.2152,33,451058
Mullaitivu,Mullaitivu,Mullaitivu,July,Northern,2023-01-01,337,9.2671,80.8061,6,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,July,Central,2023-01-01,338,6.9708,80.7671,20,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,July,North Central,2023-01-01,339,7.9403,81.0002,25,403068
Puttalam,Puttalam,Puttalam,July,North Western,2023-01-01,340,8.0983,79.8283,48,762396
Ratnapura,Ratnapura,Ratnapura,July,Sabaragamuwa,2023-01-01,341,6.6828,80.4,50,1096957
Trincomalee,Trincomalee,Trincomalee,July,Eastern,2023-01-01,342,8.5874,81.2335,15,379541
Vavuniya,Vavuniya,Vavuniya,July,Northern,2023-01-01,343,8.7519,80.5007,3,167591
Unknown,,Unknown,July,,2023-01-01,344,,,26,
,,,July,,2023-01-01,345,,,838,
Ampara,Ampara,Ampara,August,Eastern,2023-01-01,346,7.2914,81.6728,13,649402
Anuradhapura,Anuradhapura,Anuradhapura,August,North Central,2023-01-01,347,8.335,80.4037,46,860575
Badulla,Badulla,Badulla,August,Uva,2023-01-01,348,6.9934,81.055,18,815405
Batticaloa,Batticaloa,Batticaloa,August,Eastern,2023-01-01,349,7.717,81.7056,12,526567
Colombo,Colombo,Colombo,August,Western,2023-01-01,350,6.9271,79.8612,78,2324344
Galle,Galle,Galle,August,Southern,2023-01-01,351,6.0535,80.217,42,1024889
Gampaha,Gampaha,Gampaha,August,Western,2023-01-01,352,7.084,79.8931,68,2290058
Hambanthota,Hambanthota,Hambanthota,August,Southern,2023-01-01,353,6.1241,81.1185,31,594335
Jaffna,Jaffna,Jaffna,August,Northern,2023-01-01,354,9.6615,80.0074,5,583378
Kalutara,Kalutara,Kalutara,August,Western,2023-01-01,355,6.5854,79.9166,54,1221759
Kandy,Kandy,Kandy,August,Central,2023-01-01,356,7.2906,80.6337,28,1374775
Kegalle,Kegalle,Kegalle,August,Sabaragamuwa,2023-01-01,357,7.2513,80.3464,17,840648
Kilinochchi,Kilinochchi,Kilinochchi,August,Northern,2023-01-01,358,9.3842,80.402,3,113510
Kurunegala,Kurunegala,Kurunegala,August,North Western,2023-01-01,359,7.4863,80.0148,52,1618463
Mannar,Mannar,Mannar,August,Northern,2023-01-01,360,8.981,79.9133,6,99548
Matale,Matale,Matale,August,Central,2023-01-01,361,7.4675,80.6234,16,484531
Matara,Matara,Matara,August,Southern,2023-01-01,362,5.9549,80.5353,23,809959
Monaragala,Monaragala,Monaragala,August,Uva,2023-01-01,363,6.8906,81.2152,33,451058
Mullaitivu,Mullaitivu,Mullaitivu,August,Northern,2023-01-01,364,9.2671,80.8061,7,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,August,Central,2023-01-01,365,6.9708,80.7671,16,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,August,North Central,2023-01-01,366,7.9403,81.0002,22,403068
Puttalam,Puttalam,Puttalam,August,North Western,2023-01-01,367,8.0983,79.8283,30,762396
Ratnapura,Ratnapura,Ratnapura,August,Sabaragamuwa,2023-01-01,368,6.6828,80.4,53,1096957
Trincomalee,Trincomalee,Trincomalee,August,Eastern,2023-01-01,369,8.5874,81.2335,7,379541
Vavuniya,Vavuniya,Vavuniya,August,Northern,2023-01-01,370,8.7519,80.5007,2,167591
Unknown,,Unknown,August,,2023-01-01,371,,,28,
,,,August,,2023-01-01,372,,,710,
Ampara,Ampara,Ampara,September,Eastern,2023-01-01,373,7.2914,81.6728,18,649402
Anuradhapura,Anuradhapura,Anuradhapura,September,North Central,2023-01-01,374,8.335,80.4037,31,860575
Badulla,Badulla,Badulla,September,Uva,2023-01-01,375,6.9934,81.055,24,815405
Batticaloa,Batticaloa,Batticaloa,September,Eastern,2023-01-01,376,7.717,81.7056,9,526567
Colombo,Colombo,Colombo,September,Western,2023-01-01,377,6.9271,79.8612,86,2324344
Galle,Galle,Galle,September,Southern,2023-01-01,378,6.0535,80.217,32,1024889
Gampaha,Gampaha,Gampaha,September,Western,2023-01-01,379,7.084,79.8931,61,2290058
Hambanthota,Hambanthota,Hambanthota,September,Southern,2023-01-01,380,6.1241,81.1185,32,594335
Jaffna,Jaffna,Jaffna,September,Northern,2023-01-01,381,9.6615,80.0074,10,583378
Kalutara,Kalutara,Kalutara,September,Western,2023-01-01,382,6.5854,79.9166,39,1221759
Kandy,Kandy,Kandy,September,Central,2023-01-01,383,7.2906,80.6337,30,1374775
Kegalle,Kegalle,Kegalle,September,Sabaragamuwa,2023-01-01,384,7.2513,80.3464,25,840648
Kilinochchi,Kilinochchi,Kilinochchi,September,Northern,2023-01-01,385,9.3842,80.402,3,113510
Kurunegala,Kurunegala,Kurunegala,September,North Western,2023-01-01,386,7.4863,80.0148,78,1618463
Mannar,Mannar,Mannar,September,Northern,2023-01-01,387,8.981,79.9133,2,99548
Matale,Matale,Matale,September,Central,2023-01-01,388,7.4675,80.6234,15,484531
Matara,Matara,Matara,September,Southern,2023-01-01,389,5.9549,80.5353,27,809959
Monaragala,Monaragala,Monaragala,September,Uva,2023-01-01,390,6.8906,81.2152,28,451058
Mullaitivu,Mullaitivu,Mullaitivu,September,Northern,2023-01-01,391,9.2671,80.8061,8,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,September,Central,2023-01-01,392,6.9708,80.7671,14,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,September,North Central,2023-01-01,393,7.9403,81.0002,29,403068
Puttalam,Puttalam,Puttalam,September,North Western,2023-01-01,394,8.0983,79.8283,32,762396
Ratnapura,Ratnapura,Ratnapura,September,Sabaragamuwa,2023-01-01,395,6.6828,80.4,37,1096957
Trincomalee,Trincomalee,Trincomalee,September,Eastern,2023-01-01,396,8.5874,81.2335,10,379541
Vavuniya,Vavuniya,Vavuniya,September,Northern,2023-01-01,397,8.7519,80.5007,3,167591
Unknown,,Unknown,September,,2023-01-01,398,,,20,
,,,September,,2023-01-01,399,,,703,
Ampara,Ampara,Ampara,October,Eastern,2023-01-01,400,7.2914,81.6728,29,649402
Anuradhapura,Anuradhapura,Anuradhapura,October,North Central,2023-01-01,401,8.335,80.4037,46,860575
Badulla,Badulla,Badulla,October,Uva,2023-01-01,402,6.9934,81.055,19,815405
Batticaloa,Batticaloa,Batticaloa,October,Eastern,2023-01-01,403,7.717,81.7056,21,526567
Colombo,Colombo,Colombo,October,Western,2023-01-01,404,6.9271,79.8612,98,2324344
Galle,Galle,Galle,October,Southern,2023-01-01,405,6.0535,80.217,52,1024889
Gampaha,Gampaha,Gampaha,October,Western,2023-01-01,406,7.084,79.8931,74,2290058
Hambanthota,Hambanthota,Hambanthota,October,Southern,2023-01-01,407,6.1241,81.1185,30,594335
Jaffna,Jaffna,Jaffna,October,Northern,2023-01-01,408,9.6615,80.0074,14,583378
Kalutara,Kalutara,Kalutara,October,Western,2023-01-01,409,6.5854,79.9166,48,1221759
Kandy,Kandy,Kandy,October,Central,2023-01-01,410,7.2906,80.6337,28,1374775
Kegalle,Kegalle,Kegalle,October,Sabaragamuwa,2023-01-01,411,7.2513,80.3464,27,840648
Kilinochchi,Kilinochchi,Kilinochchi,October,Northern,2023-01-01,412,9.3842,80.402,7,113510
Kurunegala,Kurunegala,Kurunegala,October,North Western,2023-01-01,413,7.4863,80.0148,52,1618463
Mannar,Mannar,Mannar,October,Northern,2023-01-01,414,8.981,79.9133,6,99548
Matale,Matale,Matale,October,Central,2023-01-01,415,7.4675,80.6234,17,484531
Matara,Matara,Matara,October,Southern,2023-01-01,416,5.9549,80.5353,24,809959
Monaragala,Monaragala,Monaragala,October,Uva,2023-01-01,417,6.8906,81.2152,29,451058
Mullaitivu,Mullaitivu,Mullaitivu,October,Northern,2023-01-01,418,9.2671,80.8061,8,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,October,Central,2023-01-01,419,6.9708,80.7671,10,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,October,North Central,2023-01-01,420,7.9403,81.0002,12,403068
Puttalam,Puttalam,Puttalam,October,North Western,2023-01-01,421,8.0983,79.8283,34,762396
Ratnapura,Ratnapura,Ratnapura,October,Sabaragamuwa,2023-01-01,422,6.6828,80.4,48,1096957
Trincomalee,Trincomalee,Trincomalee,October,Eastern,2023-01-01,423,8.5874,81.2335,4,379541
Vavuniya,Vavuniya,Vavuniya,October,Northern,2023-01-01,424,8.7519,80.5007,4,167591
Unknown,,Unknown,October,,2023-01-01,425,,,26,
,,,October,,2023-01-01,426,,,767,
Ampara,Ampara,Ampara,November,Eastern,2023-01-01,427,7.2914,81.6728,23,649402
Anuradhapura,Anuradhapura,Anuradhapura,November,North Central,2023-01-01,428,8.335,80.4037,39,860575
Badulla,Badulla,Badulla,November,Uva,2023-01-01,429,6.9934,81.055,23,815405
Batticaloa,Batticaloa,Batticaloa,November,Eastern,2023-01-01,430,7.717,81.7056,15,526567
Colombo,Colombo,Colombo,November,Western,2023-01-01,431,6.9271,79.8612,87,2324344
Galle,Galle,Galle,November,Southern,2023-01-01,432,6.0535,80.217,55,1024889
Gampaha,Gampaha,Gampaha,November,Western,2023-01-01,433,7.084,79.8931,76,2290058
Hambanthota,Hambanthota,Hambanthota,November,Southern,2023-01-01,434,6.1241,81.1185,40,594335
Jaffna,Jaffna,Jaffna,November,Northern,2023-01-01,435,9.6615,80.0074,18,583378
Kalutara,Kalutara,Kalutara,November,Western,2023-01-01,436,6.5854,79.9166,56,1221759
Kandy,Kandy,Kandy,November,Central,2023-01-01,437,7.2906,80.6337,43,1374775
Kegalle,Kegalle,Kegalle,November,Sabaragamuwa,2023-01-01,438,7.2513,80.3464,32,840648
Kilinochchi,Kilinochchi,Kilinochchi,November,Northern,2023-01-01,439,9.3842,80.402,6,113510
Kurunegala,Kurunegala,Kurunegala,November,North Western,2023-01-01,440,7.4863,80.0148,61,1618463
Mannar,Mannar,Mannar,November,Northern,2023-01-01,441,8.981,79.9133,4,99548
Matale,Matale,Matale,November,Central,2023-01-01,442,7.4675,80.6234,18,484531
Matara,Matara,Matara,November,Southern,2023-01-01,443,5.9549,80.5353,27,809959
Monaragala,Monaragala,Monaragala,November,Uva,2023-01-01,444,6.8906,81.2152,14,451058
Mullaitivu,Mullaitivu,Mullaitivu,November,Northern,2023-01-01,445,9.2671,80.8061,8,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,November,Central,2023-01-01,446,6.9708,80.7671,18,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,November,North Central,2023-01-01,447,7.9403,81.0002,22,403068
Puttalam,Puttalam,Puttalam,November,North Western,2023-01-01,448,8.0983,79.8283,29,762396
Ratnapura,Ratnapura,Ratnapura,November,Sabaragamuwa,2023-01-01,449,6.6828,80.4,53,1096957
Trincomalee,Trincomalee,Trincomalee,November,Eastern,2023-01-01,450,8.5874,81.2335,16,379541
Vavuniya,Vavuniya,Vavuniya,November,Northern,2023-01-01,451,8.7519,80.5007,7,167591
Unknown,,Unknown,November,,2023-01-01,452,,,20,
,,,November,,2023-01-01,453,,,810,
Ampara,Ampara,Ampara,December,Eastern,2023-01-01,454,7.2914,81.6728,25,649402
Anuradhapura,Anuradhapura,Anuradhapura,December,North Central,2023-01-01,455,8.335,80.4037,40,860575
Badulla,Badulla,Badulla,December,Uva,2023-01-01,456,6.9934,81.055,18,815405
Batticaloa,Batticaloa,Batticaloa,December,Eastern,2023-01-01,457,7.717,81.7056,17,526567
Colombo,Colombo,Colombo,December,Western,2023-01-01,458,6.9271,79.8612,75,2324344
Galle,Galle,Galle,December,Southern,2023-01-01,459,6.0535,80.217,55,1024889
Gampaha,Gampaha,Gampaha,December,Western,2023-01-01,460,7.084,79.8931,70,2290058
Hambanthota,Hambanthota,Hambanthota,December,Southern,2023-01-01,461,6.1241,81.1185,37,594335
Jaffna,Jaffna,Jaffna,December,Northern,2023-01-01,462,9.6615,80.0074,10,583378
Kalutara,Kalutara,Kalutara,December,Western,2023-01-01,463,6.5854,79.9166,35,1221759
Kandy,Kandy,Kandy,December,Central,2023-01-01,464,7.2906,80.6337,35,1374775
Kegalle,Kegalle,Kegalle,December,Sabaragamuwa,2023-01-01,465,7.2513,80.3464,31,840648
Kilinochchi,Kilinochchi,Kilinochchi,December,Northern,2023-01-01,466,9.3842,80.402,2,113510
Kurunegala,Kurunegala,Kurunegala,December,North Western,2023-01-01,467,7.4863,80.0148,52,1618463
Mannar,Mannar,Mannar,December,Northern,2023-01-01,468,8.981,79.9133,6,99548
Matale,Matale,Matale,December,Central,2023-01-01,469,7.4675,80.6234,15,484531
Matara,Matara,Matara,December,Southern,2023-01-01,470,5.9549,80.5353,28,809959
Monaragala,Monaragala,Monaragala,December,Uva,2023-01-01,471,6.8906,81.2152,20,451058
Mullaitivu,Mullaitivu,Mullaitivu,December,Northern,2023-01-01,472,9.2671,80.8061,7,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,December,Central,2023-01-01,473,6.9708,80.7671,13,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,December,North Central,2023-01-01,474,7.9403,81.0002,23,403068
Puttalam,Puttalam,Puttalam,December,North Western,2023-01-01,475,8.0983,79.8283,24,762396
Ratnapura,Ratnapura,Ratnapura,December,Sabaragamuwa,2023-01-01,476,6.6828,80.4,45,1096957
Trincomalee,Trincomalee,Trincomalee,December,Eastern,2023-01-01,477,8.5874,81.2335,17,379541
Vavuniya,Vavuniya,Vavuniya,December,Northern,2023-01-01,478,8.7519,80.5007,7,167591
Unknown,,Unknown,December,,2023-01-01,479,,,59,
,,,December,,2023-01-01,480,,,766,
Ampara,Ampara,Ampara,Total,Eastern,2023-01-01,481,7.2914,81.6728,237,649402
Anuradhapura,Anuradhapura,Anuradhapura,Total,North Central,2023-01-01,482,8.335,80.4037,521,860575
Badulla,Badulla,Badulla,Total,Uva,2023-01-01,483,6.9934,81.055,246,815405
Batticaloa,Batticaloa,Batticaloa,Total,Eastern,2023-01-01,484,7.717,81.7056,178,526567
Colombo,Colombo,Colombo,Total,Western,2023-01-01,485,6.9271,79.8612,1174,2324344
Galle,Galle,Galle,Total,Southern,2023-01-01,486,6.0535,80.217,541,1024889
Gampaha,Gampaha,Gampaha,Total,Western,2023-01-01,487,7.084,79.8931,907,2290058
Hambanthota,Hambanthota,Hambanthota,Total,Southern,2023-01-01,488,6.1241,81.1185,18,594335
Jaffna,Jaffna,Jaffna,Total,Northern,2023-01-01,489,9.6615,80.0074,138,583378
Kalutara,Kalutara,Kalutara,Total,Western,2023-01-01,490,6.5854,79.9166,548,1221759
Kandy,Kandy,Kandy,Total,Central,2023-01-01,491,7.2906,80.6337,424,1374775
Kegalle,Kegalle,Kegalle,Total,Sabaragamuwa,2023-01-01,492,7.2513,80.3464,293,840648
Kilinochchi,Kilinochchi,Kilinochchi,Total,Northern,2023-01-01,493,9.3842,80.402,52,113510
Kurunegala,Kurunegala,Kurunegala,Total,North Western,2023-01-01,494,7.4863,80.0148,760,1618463
Mannar,Mannar,Mannar,Total,Northern,2023-01-01,495,8.981,79.9133,50,99548
Matale,Matale,Matale,Total,Central,2023-01-01,496,7.4675,80.6234,193,484531
Matara,Matara,Matara,Total,Southern,2023-01-01,497,5.9549,80.5353,315,809959
Monaragala,Monaragala,Monaragala,Total,Uva,2023-01-01,498,6.8906,81.2152,291,451058
Mullaitivu,Mullaitivu,Mullaitivu,Total,Northern,2023-01-01,499,9.2671,80.8061,82,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,Total,Central,2023-01-01,500,6.9708,80.7671,184,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,Total,North Central,2023-01-01,501,7.9403,81.0002,283,403068
Puttalam,Puttalam,Puttalam,Total,North Western,2023-01-01,502,8.0983,79.8283,396,762396
Ratnapura,Ratnapura,Ratnapura,Total,Sabaragamuwa,2023-01-01,503,6.6828,80.4,598,1096957
Trincomalee,Trincomalee,Trincomalee,Total,Eastern,2023-01-01,504,8.5874,81.2335,133,379541
Vavuniya,Vavuniya,Vavuniya,Total,Northern,2023-01-01,505,8.7519,80.5007,65,167591
Unknown,,Unknown,Total,,2023-01-01,506,,,434,
,,,Total,,2023-01-01,507,,,9436,
